"Dragon Word","Word Type","Canon Level",Definition,Notes
Frul,adjective,Canon,"Ephemeral / Temporary",
Frul-Dinok,noun,Semi-Canon,"temporary death","Lit. ""ephemeral death."" Refers to the death of the physical body, but not of the soul."
Frulahvu,noun,Semi-Canon,Militia,"A combination of ""Frul"" (Temporary) and ""Lahvu"" (Army)."
Frulahzun,noun,Semi-Canon,Militiaman,"A combination of ""Frul"" (Temporary) and ""Rahzun"" (Soldier)."
Fruljun,noun,Semi-Canon,Regent,"Lit. ""ephemeral-king."" A temporary ruler in absence of the king."
Frulrunir,noun,Semi-Canon,Redoubt,"From ""Frul"" and ""Runir,"" ""ephemeral stronghold."""
Frum,verb,Non-Canon,"Swoon, Faint, with excitement",
Frund,adjective,Non-Canon,Glad,
Frundiin,adverb,Non-Canon,Gladly,"An alteration of ""Frund""."
Frus,verb,Non-Canon,"Miss, not be present for","""Nivahrin kendov frus fin grah,"" ""The cowardly warrior missed the battle."""
Fruskah,noun,Non-Canon,Whisky,"Edited from ""Fuuskah."""
Fu,adverb,Non-Canon,"not enough, too little","""Hi los fu mul,"" ""you aren't strong enough / you are too little strong."""
Fuh,verb,Non-Canon,"Snort, Sniff, Huff, Grunt",
Fuhil,noun,Non-Canon,"Leaf, Foliage","Edited from ""Duhil."""
Fuhilpiin,noun,Non-Canon,Tea,"Edited from ""Duhilom."" Lit. ""leaf-drink."""
Fukt,adjective,Non-Canon,"Humid, Humidity","Edited from ""Sugrotiin"". From German ""feucht,"" Swedish ""fuktig""."
Ful,adverb,Canon,So,
Fumrii,verb,Non-Canon,Convey,
Fun,verb,Canon,"Tell, Told",
Fund,verb,Semi-Canon,Would,"Based on ""Fen"", ""will""."
Fundein,verb,Canon,"Unfurl / Unfurled",
Fundiir,verb,Semi-Canon,Furl,"Derived from ""Fundein"" ""unfurl""."
Fundol,verb,Semi-Canon,Wrap,
Funol,verb,Semi-Canon,Eject,"From ""Fus"" and ""Nol"", ""to force away""."
Funrah,noun,Semi-Canon,Message,"Can also be used as a verb, ""to message"". Edited from ""Dremah"" to relate to ""Fun,"" ""tell."""
Funrahiik,noun,Non-Canon,"Messenger, Apostle, Courier","""Funrah"" with the suffix ""-iik"". Edited from ""Dremahiik."""
Funrahoskad,noun,Modern,"Mailbox, Inbox","Lit. ""message-container"". Can refer both to a physical box and a computer program."
Funt,verb,Canon,Fail,
Funtaas,noun,Semi-Canon,Failure,"From ""Funt,"" ""to fail."""
Funtah,noun,Semi-Canon,Fiasco,"From ""Funt""."
Furah,noun,Non-Canon,Yelp,
Furgaan,noun,Non-Canon,Libel,"Inspired from the Old English word ""forsecgan""."
Fus,noun,Canon,Force,
Fusaav,verb,Semi-Canon,"Abduct, Kidnap","Lit. ""force-join""."
Fusaaviik,noun,Semi-Canon,"Abductor, Kidnapper","""Fusaav"" with suffix ""-iik""."
Fusgelt,noun,Modern,Bullet,"lit 'Thrust Metal'"
Fusgonah,verb,Modern,"Hotwire, to hotwire a car","Lit ""force"", ""start""."
Fusk,verb,Semi-Canon,"Throw, Hurl, Cast","Based on ""Fus"", ""force""."
Fusk-Vogil,noun,Modern,"Discus, Frisbee","Lit. ""throwing-disk."""
Fuskaag,noun,Modern,Grenade,"Lit. ""throw"", ""explode""."
Fuskah,verb,Semi-Canon,Roll,"Based on ""Fus"", ""force""."
Fuskei,adjective,Semi-Canon,Forceful,"""Fus"" with the suffix ""-kei""."
Fuskiid,noun,Semi-Canon,"Thrower, Hurler, Caster","""Fusk"" with suffix ""-iid""."
Fusond,verb,Non-Canon,"Discard, Dismiss, Expel, force away",
Fusriin,noun,Semi-Canon,Shockwave,"A combination of ""Fus"" and ""Riin""."
Fusrot,verb,Semi-Canon,"Demand, Mandate","From ""Fus"" and ""Rot,"" ""to make words of force."" Both a verb and a noun, ""to demand"" and ""a demand / force-words."""
Fussekein,noun,Semi-Canon,"Military, Army","A compound that means ""force of war""."
Fust,verb,Non-Canon,Joust,
Fustir,verb,Semi-Canon,"Banish, Ban, Expel, Discharge, literally ""Force Out"".","A compound of ""Fus"" and ""Tir""."
Fustiroz,verb,Semi-Canon,Exile,"Derived from ""Fustir"", ""to banish""."
Fustum,verb,Semi-Canon,"Cast, Throw, cast down","To throw something down."
Fusvok,verb,Semi-Canon,"Toss, Fling, throw upwards","From ""Fus,"" ""force,"" and ""Vok,"" ""up."""
Gaaf,noun,Canon,Ghost,
Gaafilir,noun,Modern,"Hologram, Holographic","Lit. ""ghost image""."
Gaafreyziin,noun,Semi-Canon,Ectoplasm,"Lit. ""ghost remains""."
Gaafus,adjective,Semi-Canon,Ghostly,"""Gaaf"" with the suffix ""-us."""
Gaal,noun,Semi-Canon,Cove,"Related to ""Gul"", ""cave""."
Gaan,noun,Canon,Stamina,
Gaansevah,noun,Semi-Canon,Mentality,"From ""Gaan"" and ""Hah"", literally: ""Stamina of Mind"""
Gaar,verb,Canon,"Unleash, Release","See also ""Komeyt."""
Gaard,noun,Non-Canon,"Bastion, Haven, Sanctuary",
Gaarfaz,verb,Semi-Canon,"Torment, Agonize","From ""Gaar"" and ""Faaz,"" ""to unleash pain."""
Gaas,adjective,Non-Canon,"Nasty, Filthy, Horrid","From the Welsh for ""nasty,"" ""cas."""
Gaat,noun,Non-Canon,Key,"Can also mean ""vital"" or ""important"". Edited from ""Zrah."""
Gaatrot,noun,Semi-Canon,Password,"From ""Gaat"" and ""Rot,"" lit. ""key-word."""
Gah,noun,Semi-Canon,Vitality,"Inspired by canon ""nahgahdinok,"" meaning necromancy. Related to ""Gaan,"" stamina."
Gahfus,noun,Semi-Canon,Pressure,"From ""Gah"", ""yield"", and ""Fus"", ""force""."
Gahfustum,noun,Semi-Canon,Javelin,"From the Old English word ""Gafeluc"", and ""Fustum"", ""to throw or hurl""."
Gahgort,noun,Non-Canon,Horker,"Edited from ""Hjorem."""
Gahlaak,noun,Non-Canon,Stampede,
Gahlot,noun,Semi-Canon,Stealth,"From ""Gahrot"", ""to steal"", and ""Nahlot"", ""silence""."
Gahnos,verb,Non-Canon,Absorb,
Gahrik,noun,Non-Canon,Falcon,
Gahritaar,noun,Semi-Canon,Larceny,"Edited from ""Aaran."" Related to ""Gahrot,"" ""to steal."""
Gahrk,verb,Non-Canon,"Jerk, Yank","From Old English word root 'ġearc'."
Gahrot,verb,Canon,"Steal, Theft, Thievery, Robbery","As a verb, ""to steal."" As a noun, ""theft or thievery."""
Gahviik,verb,Semi-Canon,Surrender,"Edited from ""Krentar."" From ""Gahvon,"" ""to yield,"" and ""Viik,"" ""defeat."""
Gahvon,verb,Canon,Yield,"Edited from the incorrect ""Gah""."
Gahvraan,verb,Semi-Canon,Glean,"From Latin word 'Glannus' meaning 'Glean,' and 'Lahvraan,' 'to gather.'"
Gahziin,noun,Non-Canon,"Logic, reasoning","Loosely based off of ""Greind"" or ""Intellect"", and ""Dahrin"" or ""Reason""."
Gahziinuv,adjective,Non-Canon,Logical,"""Gahziin"" with the suffix ""-uv."""
Gakrizar-Rot,noun,Modern,Oxymoron,"Means ""opposite"", ""word""."
Galgur,noun,Non-Canon,"Potion, Elixir, Tonic","Inspired by Icelandic ""Gullgerðarefni"" Edited from ""Galger."""
Galik,noun,Canon,Pine,
Galiko,noun,Semi-Canon,"Boreal, Coniferous, a boreal or coniferous forest","Derived from ""Galik"" and ""Feykro"", ""Pine forest"". Edited from ""Galikro""."
Galv,verb,Non-Canon,"Complain, Whine, Groan, Moan","Edited from ""Gaal""."
Ganog,adverb,Non-Canon,Enough,
Gasving,noun,Non-Canon,Gauntlet,
Gazviik,noun,Non-Canon,Spigot,
Ge-,prefix,Non-Canon,"Forms a verb (see notes)","Means ""to make or render"", ""Gemulaag"" means ""strengthen"", ""Gekahl"" means ""authorize"", etc.  The resulting verb is a transitive verb, which requires an object."
Gebahlok,verb,Non-Canon,"Starve, Famish","""Bahlok"" with the prefix ""Ge-"", ""to make hungry""."
Gebild,verb,Non-Canon,Fortify,"Based on ""Bild"" with the prefix ""Ge-"", ""to make defended""."
Geblaan,verb,Semi-Canon,"Complete, Finish","Literally, ""to make (something) ended""."
Gebovaal,verb,Semi-Canon,Liquify,"Edited from ""Genovul."" ""Bovaal"", ""liquid"", with the prefix ""Ge-"".  Means ""to make liquid""."
Gedaputlaan,adjective,Non-Canon,Encrusted,"From ""Daput"" with prefix ""Ge-"" and suffix ""-laan""."
Gedrem,verb,Semi-Canon,Pacify,"""Drem"" (Peace) with the prefix ""Ge-""."
Gedremend,noun,Non-Canon,Pacification,"""Gedrem"" with the suffix ""-end""."
Gefaas,verb,Semi-Canon,"Scare, Frighten, Spook","""Faas"" with the prefix ""Ge-."" Shortened from ""Gezofaas."""
Gefask,verb,Non-Canon,"Soften, Lighten","""Fask"" with the prefix ""Ge-"", ""to make soft""."
Gegein,verb,Semi-Canon,"Unify, Unite","Based on ""Pahgein"" and ""Gein"" with the prefix ""Ge-"", ""to make one""."
Gegend,noun,Semi-Canon,Unification,"A shortening of ""Gegeinend"", ""Gegein"" with the suffix ""-end""."
Geh,adverb,Canon,Yes,
Geid,verb,Non-Canon,Loan,
Geikaal,noun,Non-Canon,"Alcohol, Beer, Mead, Ale",
Geikalstaad,noun,Non-Canon,Brewery,
Gein,noun,Canon,One,
Geinan,adjective,Non-Canon,Single,"From Gein, one."
Geind,noun,Semi-Canon,"Union, Unification, Communion, Compound","Formed from ""Gein"", ""one""."
Geinfahliil,noun,Semi-Canon,Aldmer,"Composed of Gein and Fahliil, it literally means One-Elf and refers to the time when the Aldmer encompassed all of the Elven-races."
Geingolslen,noun,Semi-Canon,"Hist, First-Trees.","Composed by the words Gein and Golslen, it is the Dov's name for the Hist, who are said to be one of the first races on Nirn and one of only two of those races to still exist."
Geinmaar,noun,Canon,Oneself,
Geinraal,adjective,Semi-Canon,Monotheistic,"Derived from ""Geinrah"" with the suffix ""-aal"", ""with or having one god""."
Geinrah,noun,Semi-Canon,Monotheism,"A compound of ""Gein"" and ""Rah"", ""One god"" (on the analogy with ""Pogaanrah"" - ""Many gods"")."
Geinrahlo,adjective,Non-Canon,Unicursal,"Lit. means ""one"", ""course""."
Geinrokey,noun,Modern,Unicycle,"Follows the same root as ""zirokey"" but with the number ""gein."""
Geinzahkey,noun,Semi-Canon,Unicorn,"Derived from ""Gein"", ""Zahk"" and ""Key"", it literally means ""One-horned horse""."
Gejahrii,verb,Non-Canon,Fill,"""Jahrii"" with the prefix ""Ge-"", ""to make full"". Edited from ""Gejahr."""
Gejahriitir,verb,Non-Canon,Overflow,"From ""Gejahrii"" and ""Tir,"" ""fill out."""
Gejeykaan,verb,Non-Canon,Bewilder,"Literally, ""Make confused""."
Gejeykaant,noun,Non-Canon,Bewilderment,"The noun form of ""Gejeykaan""."
Gekenlok,verb,Non-Canon,"Encircle, Surround, Envelop","""Kenlok"" with the prefix ""Ge-"" "
Gekenlokin,noun,Non-Canon,"Atmosphere, Environment, Milieu","Derived from ""Gekenlok"", ""that which surrounds""."
Gekenlom,noun,Non-Canon,Moat,"A portmanteau of ""Gekenlok"" and ""Lom"", ""encircling water""."
Gekinzon,verb,Semi-Canon,Sharpen,
Gekose,verb,Semi-Canon,Originate,"""Kose"" with the prefix ""Ge-"""
Gekras,verb,Semi-Canon,Sicken,"""Kras"" with the prefix ""Ge-"", ""to make sick""."
Gekrastok,adjective,Semi-Canon,"Sickening, Infectious","From ""Gekras"", ""to make sick""."
Gekrin,verb,Semi-Canon,"Encourage, Embolden","Derived from ""Krin"", with the prefix ""Ge-"", ""to make courageous""."
Gekrintiil,noun,Semi-Canon,Encouragement,"From ""Gekrin,"" ""to encourage."""
Gel,noun,Non-Canon,Smoke,"Can also be used as a verb."
Gelaag,verb,Non-Canon,"Tire, Exhaust, Enervate","""Laag"" with the prefix ""Ge-"", ""to make sleep"", ""to make tired""."
Gelaaghadrim,verb,Non-Canon,Hypnotize,"From ""Laaghadrim"", ""hypnosis"" with the prefix ""Ge-""."
Gelaar,verb,Non-Canon,"Clarify, Explain","""Laar"" with the prefix ""Ge-""."
Gelaarend,noun,Non-Canon,"Clarification, Explanation","""Gelaar"" with the suffix ""-end""."
Gelah,verb,Semi-Canon,"Enchant, Ensorcel","""Lah"" with the prefix ""Ge-"", ""to make magical""."
Gelahaan,adjective,Semi-Canon,Enchanted,"""Gelah"" with the suffix ""-aan""."
Gelahiik,noun,Semi-Canon,Enchanter,"""Gelah"" with the suffix ""-iik""."
Gelahuz,noun,Semi-Canon,Enchantment,
Gelingrah,verb,Semi-Canon,"Lengthen, Stretch, Prolong","From ""Lingrah"", ""to make long""."
Gelok,verb,Semi-Canon,"Heighten, Elevate, Raise, Lift","From ""Lok"", ""to make high"" or ""put in the sky."" Edited from ""Gekriis."""
Gelokaat,noun,Modern,Elevator,"From ""Gelok"" with the suffix ""-aat,"" ""that which is elevated."""
Gelomiiz,verb,Non-Canon,"Wetten, Soak","""Lomiiz"" with the prefix ""Ge-."""
Gelt,noun,Semi-Canon,"Metal, Metallic","Related to ""Golt"", ""ground""."
Gelt-Solgaaz,noun,Modern,"Cash register","From ""Gelt,"" ""metal"" and ""Solgaaz,"" ""clerk"", lit. ""metal-clerk""."
Gelt-Vuth,noun,Modern,Brake,"Lit. ""metal-stop."" Edited from ""Gelt-Helt."""
Geltaav,verb,Semi-Canon,"Weld, Solder","Lit. ""metal-join."""
Geltaaviik,noun,Semi-Canon,Welder,"""Geltaav"" with suffix ""-iik""."
Gelteyd,noun,Modern,Metalloid,"Pertaining to Chemistry. ""Gelt"" with the suffix ""-eyd."""
Geltkey,noun,Modern,"Car, Automobile","Lit. ""metal horse""."
Geltlaas,noun,Modern,Robot,"Literally translates to ""metal life."""
Geltlaas-Mun,noun,Modern,Cyborg,"From ""Geltlaas"" and ""Mun,"" ""robot-man."""
Geltom,noun,Modern,"Wire, Cable","Lit. ""metal hair""."
Geltomnu,adjective,Modern,Wireless,"""Geltom"" with suffix ""-nu""."
Geltrein,noun,Semi-Canon,"Horn, Trumpet","Lit. ""Metal"", ""roar""."
Geltreinin,noun,Semi-Canon,Trumpeter,"Lit. ""trumpet-master""."
Geltviing,noun,Modern,"Airplane, Aircraft, Plane","Lit. ""metal wing""."
Gelum,verb,Semi-Canon,Lower,"""Lum"" with the prefix ""Ge-.""  The verb meaning ""to lower"", rather than the adjective ""more low than."" Edited from ""Gekrinil."""
Gelus,adjective,Non-Canon,Smoky,"From ""Gel"", ""smoke"" with suffix ""-us""."
Gemaar,verb,Semi-Canon,Terrify,"""Maar"" with the prefix ""Ge-"", to ""make terror""."
Gemal,verb,Semi-Canon,"Belittle, Shrink, Minimize","From ""Mal,"" ""to make little."""
Gemalingraan,verb,Semi-Canon,"Shorten, Abridge, Abbreviate","Based on ""Malingraan"", ""to make short in length"". Edited from ""Gemalingren."""
Gemindok,verb,Semi-Canon,"Disclose, Divulge, Expose, Impart","""Mindok"" with the prefix ""Ge-"", literally ""to make known""."
Gemogur,verb,Non-Canon,Satisfy,
Gemoguraal,adjective,Non-Canon,Satisfactory,"Composed of ""gemogur"";""satisfy"" and suffix ""-aal,"" ""having satisfaction."""
Gemoro,verb,Semi-Canon,Glorify,"""Moro"" with the prefix ""Ge-"", ""to make glory of""."
Gemulaag,verb,Semi-Canon,Strengthen,"Based off of ""Mulaag"", ""strength""."
Genaas,verb,Non-Canon,"Revel, Relish, bask in","From ""Genaz"", ""to please"". Edited from ""Ligaas."""
Genaz,verb,Non-Canon,"Delight, Enliven, Elate, Please","From ""Unaz"", ""to make happy""."
Genazaal,adjective,Non-Canon,"Pleasant, Pleasurable","Edited from ""Kirnd"" and ""Ligendaal."" From ""Genaz"", ""pleasure,"" ""with or having pleasure."""
Genazend,noun,Non-Canon,Pleasure,"From ""Genaz"", ""to please"". Edited from ""Ligend."""
Genel,verb,Non-Canon,"Hasten, Quicken, Expedite, speed up","Ge: to make"
Genik,verb,Semi-Canon,Wisen,"From ""onik"" with the prefix ""Ge-"", ""to make wise""."
Genul,verb,Non-Canon,"Nullify, Cancel, Abort","Literally ""to make null""."
Genuld,noun,Non-Canon,"Cancellation, Abortion","From ""Genul""."
Genum,verb,Non-Canon,"Customize, Personalize","""Num"" with the prefix ""Ge-,"" ""to make unique."
Genun,verb,Semi-Canon,"Show, Display, Reveal, Unveil, Appear","""Nun"" with the prefix ""Ge-"", ""to make seen""."
Genund,noun,Semi-Canon,Appearance,"From ""Genun,"" ""to appear."" Edited from ""Dahvurd."""
Genunvir,verb,Semi-Canon,Demonstrate,"Based on ""Genun"". Lit. means ""show"", ""how""."
Gepruz,verb,Semi-Canon,"Improve, make better","""Pruz"" with the prefix ""Ge-"", ""to make better""."
Geqoth,verb,Semi-Canon,Entomb,"""Qoth"" with the prefix ""Ge-"""
Gerah,verb,Non-Canon,Frustrate,
Gerahgol,verb,Semi-Canon,Enrage,"""Rahgol"" with the prefix ""Ge-""."
Gerahgron,verb,Semi-Canon,"Anger, to make angry","""Rahgron"" with the prefix ""Ge-""."
Gerev,verb,Non-Canon,"Instill, Impart",
Gerevak,verb,Semi-Canon,"Sanctify, Consecrate","""Revak"" with the prefix ""Ge-,"" ""to make sacred."""
Gerik,verb,Non-Canon,"Broaden, Widen","From ""Urik"", ""to make broad, wide""."
Gerinid,verb,Non-Canon,"Equalize, Level","""Rinid"" with prefix ""ge-"". Literally ""make-equal""."
Gesaak,verb,Non-Canon,"Expand, Extend, Enlarge, Widen","""Saak"" with the prefix ""Ge-"", ""to make large or big""."
Gesaavir,verb,Non-Canon,"Enrich, Enrichment","Prefix ""ge-"" and ""saavir"". Literally, ""make-rich"". Refers to quality rather than wealth. "
Gesahlo,verb,Semi-Canon,Weaken,"Derived from ""Sahlo"", ""weak"".  Implies the taking away of strength, versus ""Imzalo"" which implies sickness or illness."
Gesahqo,verb,Semi-Canon,Redden,"""Sahqo"" with the prefix ""Ge-""."
Gesein,verb,Semi-Canon,"Slow, Impede","From Old Norse ""seinn"" and Ge- ""make"""
Gesiigor,verb,Non-Canon,Inform,"Derives from ""Saag"", ""to say""."
Geson,verb,Non-Canon,"Lessen, Decrease","Based on ""Son"", ""less"", literally ""make less""."
Gesot,verb,Semi-Canon,"Whiten, Bleach","From ""Sot"", ""white""."
Gespein,verb,Non-Canon,"Delay, Stall","From ""Spein"", ""to make late""."
Gestahdim,verb,Non-Canon,Hallow,"From ""Stahdim"", ""to make holy""."
Gesuf,verb,Semi-Canon,Vaporize,"""Suf"" with the prefix ""Ge-""."
Gesus,verb,Semi-Canon,"Bloody, to cause bleeding","""Sus"" with the prefix ""Ge-"", ""to make bloody""."
Getiid,noun,Semi-Canon,"Moment, Instance","Altered from ""Get"" to ""Getiid""."
Getiiraaz,verb,Semi-Canon,Sadden,"""Tiraaz"" with the prefix ""Ge-"", ""to make sad"". Corrected from ""Getiraaz""."
Gevahk,verb,Non-Canon,Simplify,"""Vahk"" with the prefix ""Ge-"", ""to make simple""."
Gevahzen,verb,Semi-Canon,Prove,"""Vahzen"" with the prefix ""Ge-"", ""to make truth""."
Gevahzin,noun,Semi-Canon,Proof,"From ""Gevahzen,"" ""to prove."""
Geved,verb,Semi-Canon,Blacken,"""Ved"" with the prefix ""Ge-"", ""to make black""."
Geviin,verb,Semi-Canon,Polish,"""Viin"", ""to make shine""."
Gevild,noun,Non-Canon,"Castle, Hold","Any large, fortified, elevated place, larger than a fort or keep."
Gevildseod,noun,Semi-Canon,Winterhold,"""Hold of Snow"". Pronounced ""Geh-vild-seh-ode""."
Gevolz,verb,Non-Canon,Worsen,"From ""Volz"", ""to make worse"". Edited from ""Gevol"" to avoid conflict with the canon ""Vol""."
Gevoth,verb,Semi-Canon,"Connect, Conjoin, Affiliate, Associate","""Voth"", ""with"", with the prefix ""Ge-"", ""to make with""."
Gevothend,noun,Semi-Canon,"Connection, Affiliation","""Gevoth"" with the suffix ""-end""."
Gevozahlaas,verb,Semi-Canon,Immortalize,"From ""Vozahlaas"" with the prefix ""Ge-,"" ""to make immortal."""
Gevul,verb,Semi-Canon,"Darken, Shroud, Shade","From ""Vul"", ""to make dark""."
Geyal,verb,Non-Canon,"Tighten, Narrow, Thin","Ge + Yal literally ""to make tight/thin/narrow"""
Geyol,verb,Semi-Canon,"Ignite, Light, Kindle, Spark","""Yol"", ""fire"", with the prefix ""Ge-"", literally ""to make on fire""."
Geyoliik,noun,Semi-Canon,Lighter,"""Geyol"" with suffix ""-iik"", refers to any person or thing that can make light/fire."
Geyolkah,noun,Modern,Firework,"From ""Geyol"", ""ignite""."
Geyt,noun,Non-Canon,Torso/Chest,"Edited from ""Geymaar."""
Gezeydah,verb,Non-Canon,Justify,"""Zeydo"" with the prefix ""Ge-"", literally ""make just"".  An ""h"" was added to facilitate verb suffixes."
Gezuk,verb,Non-Canon,Increase,"Based on ""Zuk"", ""more"".  Literally, ""make more""."
Giif,noun,Non-Canon,Sake,
Giigel,verb,Non-Canon,Warble,
Giiriz,verb,Non-Canon,Pump,
Ginon,verb,Non-Canon,Brew,
Ginun,noun,Non-Canon,Space,"Derived from Old Norse. "
Ginuntiik,adjective,Non-Canon,Spacious,"From ""Ginun""."
Gir,verb,Non-Canon,Listen,
Giriid,noun,Non-Canon,Listener,"""Gir"" with suffix ""-iid""."
Girvestir,noun,Non-Canon,Hamster,
Girvoh,noun,Non-Canon,"Vase, Vessel",
Girvolaan,verb,Semi-Canon,"Eavesdrop, Eavesdropper","Lit. ""listen-intrude,"" ""unwanted listener."""
Giwahdaal,noun,Non-Canon,Example,"From ""Giwahdil"", ""evidence""."
Giwahdil,noun,Non-Canon,Evidence,
Gizan,noun,Non-Canon,Gallon,
Glakel,noun,Non-Canon,Glacier,
Glimrel,noun,Non-Canon,Energy,
Gloz,noun,Non-Canon,Grudge,
Gluus,noun,Non-Canon,"Luck, Fortune",
Gluuskei,adjective,Non-Canon,"Lucky, Fortunate","""Gluus"" with the suffix ""-kei"", literally, ""to be full of luck or fortune""."
Gobahron,noun,Non-Canon,Tapestry,
Godaan,noun,Non-Canon,Raccoon,
Godun,verb,Non-Canon,"Secrete, Secretion",
Gogil,noun,Canon,Goblin,
Gohiv,noun,Non-Canon,"Pause, break","Also verb form, ""to pause"". Edited from ""Hilv."""
Gol,noun,Canon,"Stone / Earth",
Golaat,noun,Non-Canon,Belt,"Edited from ""Govir."""
Golah,adjective,Canon,Stubborn,"Most likely related to ""Gol"", ""earth""."
Golahgil,noun,Modern,Cement,"From ""Gol,"" ""stone"" and ""Ahgil,"" ""clay"", lit. ""stone-clay""."
Golahreid,adjective,Semi-Canon,Opinionated,"Derived from ""Golah"". Lit. means ""stubborn"", ""side""."
Golahrom,noun,Semi-Canon,Stubborness,"Golah + -rom."
Golboaan,noun,Modern,Bulldozer,"Lit means ""earth-mover""."
Goldiivon,noun,Semi-Canon,Sinkhole,"Lit. ""earth swallow."""
Goldrah,noun,Semi-Canon,Boulder,
Golgaaz,noun,Semi-Canon,"Tablet, a stone writing tablet","Related to ""Gol"", ""earth""."
Golgevild,noun,Modern,Bunker,"Lit. means ""earth-castle""."
Golgraad,noun,Semi-Canon,"Catacomb, Crypt, any underground place of burial","Derived from Golz and Graad together to make ""stone grave""."
Golir,noun,Semi-Canon,Earthworm,"From ""Gol"" and ""Lir."""
Golklov,noun,Semi-Canon,Pole,"Gol: earth, Klov: head, refers to a geographic pole."
Golkloviik,adjective,Semi-Canon,Polar,"From ""Golklov,"" ""pole."""
Golmah,verb,Semi-Canon,"Land, Landfall","Compound meaning ""earth-fall"", to ""fall to earth"". Is the verb ""to land"" and also the noun ""landfall""."
Golmah,noun,Semi-Canon,"Landslide, Rockslide, Mudslide","Lit 'Earth Fall'"
Golraf,noun,Semi-Canon,Crater,"A compound of ""Gol"" and ""Raf"", ""earth-hole""."
Golrafus,adjective,Semi-Canon,Craterous,"""Golraf"" with suffix ""-us."""
Golrosik,noun,Semi-Canon,Alphabet,"Related to ""Gol, ""Ro,"" and ""Sik."" Edited from ""Vuruun."""
Golrosik-Tokaas,noun,Modern,Algebra,"LIt. ""math-alphabet."""
Golrosikuv,adjective,Semi-Canon,Alphabetical,"Based on ""Golrosik"" with the suffix ""-uv"". Edited from ""Vuruniil."""
Golsez,noun,Semi-Canon,Amber,"Derived from the composite-word Golslengolz, it means Treeblood Stone and refers to the fossil-gemstone Amber, as it's usually made from tree-sap. Given the fact that Alduin and his Dov are directly created by Lorhkan and Akatosh, they would undoubtingly know of the precise origins of amberstones."
Golt,noun,Canon,Ground,
Goltahraan,noun,Semi-Canon,"Canyon, Gorge","Lit. means ""earth-wound."""
Goltefend,noun,Semi-Canon,Gravity,"A compound of ""Gol"" and ""Tef"" with the suffix ""-end"""
Goltgro,adjective,Semi-Canon,Earthbound,"Lit. means ""Ground"", ""bound""."
Golthiraak,noun,Non-Canon,Aardvark,"Lit. means ""ground pig"""
Goltin,noun,Semi-Canon,Ingot,"From ""Golt,"" ""ground."" Edited from ""Hask."""
Goltnu,noun,Semi-Canon,"Folly, Nonsense, Senseless","Lit. ""groundless."" Edited from ""Hegem."""
Goltosgoriik,noun,Semi-Canon,Groundhog,"Literally ""ground digger"""
Goluv,adjective,Semi-Canon,"Terrestrial, Earthly","""Gol"" with the suffix ""-uv,"" ""of or pertaining to the earth."""
Golvahrukt,noun,Semi-Canon,Cairn,"From ""Gol"" and ""Vahrukt,"" ""earthen memory."""
Golz,noun,Canon,Stone,
Golzaar,noun,Semi-Canon,"Golem, Stone-Servant.","Composed by the words Golz and Aar, it literally means Stone-Servant or Stone-Slave. Though the concept is hardly known in Tamriel itself, it can also apply to the automatons of the Dwemer, as they come from the very stones around the dwemer cities, though of course certain processes are found in between the basic material and the finished product. Plural is Golzaarre."
Golzeik,noun,Semi-Canon,"Stalagmite, Stalactite","Lit. means ""earth"", ""spike""."
Golzewer,noun,Semi-Canon,Markarth,"Compound meaning ""Stone of the West"". Edited from ""Golzewelkand."""
Golzir,noun,Semi-Canon,Masonry,"Lit. ""stonecraft."""
Golziriik,noun,Semi-Canon,Mason,"""Golzir"" with the suffix ""-iik."""
Golzokaaz,noun,Semi-Canon,Coral,"From ""Golz"" and ""Okaaz"", roughly ""stone of the sea""."
Golzomvol,noun,Modern,"Prairie Dog","Lit. ""ground-rodent."""
Golzul,adjective,Semi-Canon,"Gruff, Hoarse, Gruffness, Hoarseness","Literally 'stone-voice' or 'stone-voiced.'"
Golzus,adjective,Semi-Canon,Stony,"""Golz"" with the suffix ""-us."""
Gon,verb,Non-Canon,"Begin, Beginning, Start","As a verb, to start or begin. As a noun, start or beginning."
Gonaas,verb,Non-Canon,Commence,"From ""Gon"", ""to begin""."
Gonal,verb,Non-Canon,"Initiate, Initiative","From ""Gon"". Can also be used as a noun."
Goniik,noun,Non-Canon,"Beginner, Starter","""Gon"" with the suffix ""-iik""."
Gonmaar,noun,Non-Canon,"Inception, Conception","From ""Gon,"" ""to begin."""
Gonsul,noun,Semi-Canon,"Sunrise, Sunup","Lit. ""start-day"". Edited from ""Gonsul."""
Gor,verb,Non-Canon,Test,
Goraag,noun,Non-Canon,"Magma, Lava",
Goraan,adjective,Canon,Young,
Goraaniik,noun,Semi-Canon,Youngster,"""Goraan"" with the suffix ""-iik"", literally ""someone who is young""."
Goraas,noun,Semi-Canon,Youth,"Edited from ""Vuth."" Derived from canon ""Goraan."""
Goraasin,adjective,Semi-Canon,Wunderkind,"Lit. ""Youth"", ""master""."
Gorah,noun,Non-Canon,Titan,
Goraniin,noun,Semi-Canon,"younger sibling","From ""Goraan,"" ""young,"" and ""Soskiin,"" ""soskiin,"" shortened for conversational use."
Gornaar,noun,Non-Canon,Tour,
Gorvahzen,noun,Semi-Canon,"Experiment, Trial","Derived from ""Test""/""Gor"" and ""Truth""/""Vahzen"", literally ""testing for the truth""."
